Episode,Reward
539,0.11111111111111116
540,-1
541,-1
542,-1
543,-1
544,3.5
545,3.2
546,0.19999999999999996
547,4
548,-1
549,-1
550,-1
551,-1
552,0.19999999999999996
553,-1
554,-1
555,-1
556,-1
557,-1
558,1
559,-1
560,-1
561,-1
562,0.25
563,0.33333333333333326
564,-1
565,3.5
566,0.33333333333333326
567,-1
568,1
569,0.10000000000000009
570,0.33333333333333326
571,-1
572,-1
573,0.25
574,-1
575,-1
576,-1
577,1.0
578,1
579,-1
580,-1
581,-1
582,0.5
583,2.4166666666666665
584,-1
585,-1
586,-1
587,4
588,-1
589,-1
590,-1
591,-1
592,0.5
593,-1
594,-1
595,-1
596,-1
597,1
598,-1
599,1
600,-1
601,-1
602,-1
603,-1
604,0.33333333333333326
605,0.25
606,-1
607,-1
608,1.0
609,-1
610,1.0
611,-1
612,-1
613,-1
614,-1
615,0.33333333333333326
616,-1
617,1.0
618,-1
619,0.11111111111111116
620,-1
621,-1
622,-1
623,-1
624,-1
625,-1
626,-1
627,-1
628,3.5
629,-1
630,-1
631,0.25
632,0.5
633,-1
634,-1
635,0.5
636,-1
637,-1
638,1.0
639,1.0
640,-1
641,-1
642,-1
643,0.5
644,-1
645,2.283333333333333
646,1.0
647,4.0
648,-1
649,-1
650,-1
651,-1
652,-1
653,-1
654,-1
655,-1
656,-1
657,1
658,-1
659,0.1428571428571428
660,1.0
661,-1
662,-1
663,0.1428571428571428
664,-1
665,0.1428571428571428
666,-1
667,0.25
668,1
669,-1
670,0.09090909090909083
671,-1
672,-1
673,-1
674,0.125
675,1
676,-1
677,-1
678,1.0
679,-1
680,-1
681,-1
682,0.25
683,1
684,-1
685,-1
686,-1
687,2.533333333333333
688,2.7
689,0.19999999999999996
690,4
691,-1
692,-1
693,3.333333333333333
694,-1
695,1
696,1.0
697,0.25
698,1
699,-1
700,-1
701,0.25
702,0.33333333333333326
703,-1
704,0.5
705,-1
706,-1
707,-1
708,-1
709,-1
710,0.25
711,-1
712,-1
713,2.3
714,-1
715,-1
716,0.5
717,-1
718,2.583333333333333
719,-1
720,-1
721,-1
722,-1
723,-1
724,2.4333333333333336
725,0.16666666666666674
726,0.33333333333333326
727,-1
728,-1
729,1
730,-1
731,0.19999999999999996
732,1.0
733,-1
734,1
735,0.125
736,0.5
737,-1
738,-1
739,-1
740,2.458333333333333
741,-1
742,1
743,-1
744,-1
745,0.25
746,-1
747,-1
748,-1
749,2.35
750,0.16666666666666674
751,0.5
752,2.333333333333333
753,-1
754,-1
755,2.583333333333333
756,-1
757,0.33333333333333326
758,-1
759,1
760,0.5
761,-1
762,-1
763,0.33333333333333326
764,-1
765,4.0
766,4.0
767,-1
768,-1
769,-1
770,-1
771,-1
772,-1
773,1
774,0.08333333333333326
775,-1
776,-1
777,0.25
778,-1
779,3.111111111111111
780,-1
781,-1
782,1.0
783,-1
784,-1
785,-1
786,-1
787,-1
788,-1
789,-1
790,-1
791,-1
792,0.16666666666666674
793,-1
794,-1
795,-1
796,-1
797,-1
798,0.08333333333333326
799,-1
800,-1
801,0.5
802,-1
803,-1
804,-1
805,-1
806,-1
807,-1
808,4
809,-1
810,-1
811,-1
812,0.19999999999999996
813,-1
814,-1
815,3.25
816,-1
817,-1
818,1
819,4
820,-1
821,-1
822,-1
823,-1
824,-1
825,2.257575757575758
826,-1
827,-1
828,-1
829,0.5
830,1.0
831,0.125
832,-1
833,0.33333333333333326
834,-1
835,-1
836,-1
837,-1
838,0.19999999999999996
839,-1
840,0.16666666666666674
841,-1
842,-1
843,-1
844,-1
845,-1
846,-1
847,-1
848,-1
849,-1
850,0.1428571428571428
851,-1
852,-1
853,-1
854,3.166666666666667
855,-1
856,-1
857,-1
858,1
859,-1
860,3.333333333333333
861,-1
862,1
863,-1
864,-1
865,0.1428571428571428
866,-1
867,-1
868,0.16666666666666674
869,-1
870,-1
871,0.5
872,1
873,2.833333333333333
874,1.0
875,-1
876,-1
877,3.333333333333333
878,-1
879,-1
880,-1
881,1
882,0.1428571428571428
883,-1
884,-1
885,4
886,-1
887,1.0
888,1.0
889,-1
890,-1
891,0.125
892,-1
893,1.0
894,-1
895,3.5
896,0.25
897,-1
898,4.0
899,-1
900,-1
901,-1
902,-1
903,1
904,0.19999999999999996
905,4
906,2.253968253968254
907,-1
908,1.0
909,-1
910,-1
911,0.5
912,-1
913,0.33333333333333326
914,-1
915,-1
916,-1
917,0.09090909090909083
918,-1
919,-1
920,0.25
921,3.125
922,-1
923,-1
924,-1
925,-1
926,-1
927,-1
928,-1
929,-1
930,4.0
931,0.33333333333333326
932,-1
933,0.33333333333333326
934,-1
935,2.75
936,-1
937,-1
938,-1
939,0.33333333333333326
940,-1
941,0.16666666666666674
942,-1
943,-1
944,-1
945,-1
946,-1
947,3.125
948,0.16666666666666674
949,-1
950,-1
951,1.0
952,-1
953,1
954,1.0
955,-1
956,-1
957,0.11111111111111116
958,3.5
959,-1
960,1.0
961,-1
962,-1
963,-1
964,1.0
965,-1
966,3.333333333333333
967,-1
968,-1
969,-1
970,-1
971,-1
972,3.111111111111111
973,-1
974,-1
975,4.0
976,-1
977,-1
978,-1
979,-1
980,1.0
981,-1
982,-1
983,-1
984,-1
985,-1
986,-1
987,-1
988,-1
989,-1
990,0.19999999999999996
991,-1
992,1
993,0.16666666666666674
994,-1
995,-1
996,-1
997,-1
998,-1
999,-1
1000,-1
1001,1
1002,-1
1003,0.33333333333333326
1004,-1
1005,0.25
1006,0.5
1007,3.5
1008,-1
1009,-1
1010,-1
1011,-1
1012,-1
1013,1.0
1014,0.5
1015,-1
1016,0.33333333333333326
1017,0.25
1018,-1
1019,-1
1020,-1
1021,-1
1022,3.166666666666667
1023,-1
1024,-1
1025,-1
1026,-1
1027,-1
1028,0.19999999999999996
1029,-1
1030,1
1031,-1
1032,-1
1033,2.4333333333333336
1034,3.5
1035,-1
1036,-1
1037,-1
1038,-1
1039,0.1428571428571428
1040,-1
1041,-1
1042,-1
1043,-1
1044,0.16666666666666674
1045,2.6
1046,0.5
1047,1.0
1048,-1
1049,-1
1050,4.0
1051,-1
1052,-1
1053,3.142857142857143
1054,1.0
1055,-1
1056,0.1428571428571428
1057,-1
1058,0.19999999999999996
1059,-1
1060,-1
1061,-1
1062,0.5
1063,2.666666666666667
1064,-1
1065,-1
1066,-1
1067,-1
1068,2.2019230769230766
1069,1.0
1070,-1
1071,-1
1072,0.5
1073,-1
1074,2.3666666666666667
1075,-1
1076,-1
1077,-1
1078,3.166666666666667
1079,0.33333333333333326
1080,1
1081,3.5
1082,-1
1083,-1
1084,-1
1085,-1
1086,-1
1087,-1
1088,-1
1089,-1
1090,-1
1091,0.16666666666666674
1092,-1
1093,0.5
1094,-1
1095,1.0
1096,-1
1097,1.0
1098,-1
1099,0.1428571428571428
1100,-1
1101,1
1102,-1
1103,-1
1104,-1
1105,-1
1106,-1
1107,-1
1108,-1
1109,0.25
1110,-1
1111,-1
1112,0.33333333333333326
1113,-1
1114,-1
1115,-1
1116,-1
1117,-1
1118,1.0
1119,-1
1120,-1
1121,-1
1122,0.25
1123,3.333333333333333
1124,-1
1125,-1
1126,-1
1127,-1
1128,2.392857142857143
1129,3.333333333333333
1130,-1
1131,-1
1132,1
1133,0.11111111111111116
1134,-1
1135,0.1428571428571428
1136,0.125
1137,-1
1138,-1
1139,0.25
1140,0.25
1141,3.5
1142,-1
1143,-1
1144,-1
1145,-1
1146,-1
1147,-1
1148,-1
1149,-1
1150,0.5
1151,-1
1152,0.10000000000000009
1153,-1
1154,-1
1155,-1
1156,2.6666666666666665
1157,3.25
1158,-1
1159,-1
1160,-1
1161,-1
1162,-1
1163,-1
1164,1.0
1165,0.19999999999999996
1166,-1
1167,-1
1168,-1
1169,3.166666666666667
1170,1.0
1171,-1
1172,-1
1173,-1
1174,-1
1175,3.333333333333333
1176,0.16666666666666674
1177,-1
1178,-1
1179,-1
1180,-1
1181,1.0
1182,1
1183,-1
1184,0.5
1185,1.0
1186,-1
1187,-1
1188,4
1189,-1
1190,-1
1191,0.25
1192,-1
1193,1
1194,0.11111111111111116
1195,-1
1196,-1
1197,1.0
1198,1.0
1199,-1
1200,-1
1201,-1
1202,-1
1203,3.5
1204,0.5
1205,-1
1206,-1
1207,1.0
1208,-1
1209,1
1210,-1
1211,-1
1212,-1
1213,0.19999999999999996
1214,2.3428571428571425
1215,-1
1216,3.333333333333333
1217,-1
1218,-1
1219,-1
1220,0.33333333333333326
1221,0.5
1222,3.5
1223,-1
1224,2.416666666666667
1225,-1
1226,-1
1227,0.125
1228,1
1229,-1
1230,0.25
1231,-1
1232,3.25
1233,-1
1234,0.5
1235,2.4
1236,1.0
1237,4.0
1238,0.16666666666666674
1239,0.33333333333333326
1240,0.19999999999999996
1241,0.125
1242,0.19999999999999996
1243,0.33333333333333326
1244,0.25
1245,-1
1246,4.0
1247,0.5
1248,-1
1249,-1
1250,-1
1251,-1
1252,-1
1253,-1
1254,0.5
1255,-1
1256,-1
1257,-1
