episode,attacker_reward,defender_reward,epsilon,hack_probability,episode_length
147,-1.0,1.0,0.4810273709480478,0.0,4
148,1.0,1.0,0.47862223409330756,0.0,5
149,-1.0,1.0,0.47622912292284103,0.0,3
150,-1.0,1.0,0.4738479773082268,0.0,5
151,-1.0,1.0,0.47147873742168567,0.0,7
152,3.333333333333333,-2.0,0.46912134373457726,0.0,6
153,-1.0,1.0,0.46677573701590436,0.0,4
154,-1.0,1.0,0.46444185833082485,0.0,3
155,-1.0,1.0,0.46211964903917074,0.0,2
156,-1.0,1.0,0.4598090507939749,0.0,1
157,-1.0,1.0,0.457510005540005,0.0,5
158,-1.0,1.0,0.45522245551230495,0.0,7
159,-1.0,1.0,0.4529463432347434,0.0,1
160,-1.0,1.0,0.4506816115185697,0.0,7
161,-1.0,1.0,0.4484282034609769,0.0,1
162,-1.0,1.0,0.446186062443672,0.0,3
163,-1.0,1.0,0.4439551321314536,0.0,2
164,-1.0,1.0,0.4417353564707963,0.0,1
165,-1.0,1.0,0.43952667968844233,0.0,2
166,-1.0,1.0,0.43732904629000013,0.0,3
167,-1.0,1.0,0.4351424010585501,0.0,8
168,-1.0,1.0,0.43296668905325736,0.0,2
169,-1.0,1.0,0.43080185560799106,0.0,2
170,-1.0,1.0,0.4286478463299511,0.0,5
171,-1.0,1.0,0.42650460709830135,0.0,4
172,-1.0,1.0,0.42437208406280985,0.0,1
173,2.25,-2.0,0.4222502236424958,0.0,18
174,1.0,1.0,0.42013897252428334,0.0,4
175,-1.0,1.0,0.4180382776616619,0.0,7
176,-1.0,1.0,0.4159480862733536,0.0,1
177,-1.0,1.0,0.41386834584198684,0.0,7
178,-1.0,1.0,0.4117990041127769,0.0,2
179,-1.0,1.0,0.40974000909221303,0.0,7
180,-1.0,1.0,0.40769130904675194,0.0,7
181,2.3666666666666667,-2.0,0.40565285250151817,0.0,13
182,-1.0,1.0,0.4036245882390106,0.0,4
183,-1.0,1.0,0.4016064652978155,0.0,1
184,-1.0,1.0,0.3995984329713264,0.0,7
185,-1.0,1.0,0.3976004408064698,0.0,1
186,-1.0,1.0,0.39561243860243744,0.0,3
187,-1.0,1.0,0.3936343764094253,0.0,4
188,-1.0,1.0,0.39166620452737816,0.0,1
189,-1.0,1.0,0.3897078735047413,0.0,7
190,0.33333333333333326,1.0,0.3877593341372176,0.0,5
191,-1.0,1.0,0.3858205374665315,0.0,9
192,0.25,1.0,0.38389143477919885,0.0,15
193,1.0,1.0,0.3819719776053028,0.0,3
194,-1.0,1.0,0.3800621177172763,0.0,3
195,-1.0,1.0,0.37816180712868996,0.0,5
196,4.0,-2.0,0.37627099809304654,0.0,2
197,0.1428571428571428,1.0,0.3743896431025813,0.0,10
198,-1.0,1.0,0.37251769488706843,0.0,3
199,-1.0,1.0,0.3706551064126331,0.0,2
200,0.16666666666666674,1.0,0.36880183088056995,0.0,10
201,1.0,1.0,0.3669578217261671,0.0,8
202,3.333333333333333,-2.0,0.36512303261753626,0.0,5
203,-1.0,1.0,0.3632974174544486,0.0,4
204,-1.0,1.0,0.3614809303671764,0.0,2
205,-1.0,1.0,0.3596735257153405,0.0,4
206,-1.0,1.0,0.3578751580867638,0.0,1
207,-1.0,1.0,0.35608578229633,0.0,9
208,-1.0,1.0,0.3543053533848483,0.0,3
209,3.090909090909091,-2.0,0.35253382661792404,0.0,14
210,3.142857142857143,-2.0,0.3507711574848344,0.0,9
211,-1.0,1.0,0.34901730169741024,0.0,1
212,0.5,1.0,0.3472722151889232,0.0,5
213,-1.0,1.0,0.3455358541129786,0.0,1
214,-1.0,1.0,0.3438081748424137,0.0,8
215,3.25,-2.0,0.3420891339682016,0.0,7
216,-1.0,1.0,0.3403786882983606,0.0,2
217,3.333333333333333,-2.0,0.3386767948568688,0.0,6
218,4.0,-2.0,0.33698341088258443,0.0,2
219,2.833333333333333,-2.0,0.3352984938281715,0.0,7
220,-1.0,1.0,0.33362200135903064,0.0,1
221,-1.0,1.0,0.33195389135223546,0.0,2
222,-1.0,1.0,0.3302941218954743,0.0,1
223,-1.0,1.0,0.32864265128599696,0.0,5
224,-1.0,1.0,0.326999438029567,0.0,7
225,-1.0,1.0,0.3253644408394192,0.0,8
226,-1.0,1.0,0.3237376186352221,0.0,1
227,-1.0,1.0,0.322118930542046,0.0,4
228,-1.0,1.0,0.32050833588933575,0.0,6
229,3.333333333333333,-2.0,0.31890579420988907,0.0,6
230,-1.0,1.0,0.3173112652388396,0.0,8
231,0.33333333333333326,1.0,0.3157247089126454,0.0,9
232,0.5,1.0,0.3141460853680822,0.0,4
233,-1.0,1.0,0.3125753549412418,0.0,8
234,-1.0,1.0,0.31101247816653554,0.0,9
235,-1.0,1.0,0.30945741577570285,0.0,2
236,0.19999999999999996,1.0,0.3079101286968243,0.0,8
237,0.33333333333333326,1.0,0.3063705780533402,0.0,7
238,-1.0,1.0,0.30483872516307353,0.0,5
239,3.25,-2.0,0.3033145315372582,0.0,6
240,-1.0,1.0,0.3017979588795719,0.0,3
241,1.0,1.0,0.30028896908517405,0.0,2
242,-1.0,1.0,0.2987875242397482,0.0,6
243,-1.0,1.0,0.29729358661854943,0.0,1
244,-1.0,1.0,0.29580711868545667,0.0,5
245,-1.0,1.0,0.2943280830920294,0.0,4
246,1.0,1.0,0.29285644267656924,0.0,4
247,-1.0,1.0,0.2913921604631864,0.0,1
248,-1.0,1.0,0.28993519966087045,0.0,6
249,-1.0,1.0,0.2884855236625661,0.0,3
250,3.5,-2.0,0.28704309604425327,0.0,4
251,-1.0,1.0,0.285607880564032,0.0,5
252,-1.0,1.0,0.28417984116121187,0.0,3
253,-1.0,1.0,0.2827589419554058,0.0,1
254,0.5,1.0,0.28134514724562876,0.0,5
255,-1.0,1.0,0.2799384215094006,0.0,2
256,1.0,1.0,0.27853872940185365,0.0,4
257,-1.0,1.0,0.27714603575484437,0.0,1
258,0.25,1.0,0.2757603055760701,0.0,10
259,-1.0,1.0,0.2743815040481898,0.0,6
260,-1.0,1.0,0.2730095965279488,0.0,7
261,-1.0,1.0,0.27164454854530906,0.0,1
262,-1.0,1.0,0.2702863258025825,0.0,2
263,4.0,-2.0,0.2689348941735696,0.0,2
264,1.0,1.0,0.26759021970270175,0.0,4
265,-1.0,1.0,0.2662522686041882,0.0,1
266,-1.0,1.0,0.2649210072611673,0.0,1
267,-1.0,1.0,0.26359640222486147,0.0,1
268,-1.0,1.0,0.26227842021373715,0.0,3
269,2.3095238095238093,-2.0,0.2609670281126685,0.0,15
270,-1.0,1.0,0.25966219297210513,0.0,2
271,0.5,1.0,0.2583638820072446,0.0,6
272,0.19999999999999996,1.0,0.2570720625972084,0.0,8
273,-1.0,1.0,0.25578670228422234,0.0,5
274,0.33333333333333326,1.0,0.25450776877280124,0.0,12
275,3.333333333333333,-2.0,0.2532352299289372,0.0,5
276,0.5,1.0,0.2519690537792925,0.0,7
277,-1.0,1.0,0.2507092085103961,0.0,1
278,-1.0,1.0,0.2494556624678441,0.0,2
279,-1.0,1.0,0.24820838415550486,0.0,4
280,0.5,1.0,0.24696734223472733,0.0,4
281,1.0,1.0,0.2457325055235537,0.0,2
282,-1.0,1.0,0.24450384299593592,0.0,1
283,-1.0,1.0,0.24328132378095624,0.0,1
284,0.1428571428571428,1.0,0.24206491716205145,0.0,12
285,-1.0,1.0,0.2408545925762412,0.0,4
286,-1.0,1.0,0.23965031961336,0.0,5
287,-1.0,1.0,0.2384520680152932,0.0,1
288,-1.0,1.0,0.23725980767521673,0.0,2
289,-1.0,1.0,0.23607350863684065,0.0,1
290,2.7,-2.0,0.23489314109365644,0.0,9
291,-1.0,1.0,0.23371867538818816,0.0,2
292,-1.0,1.0,0.23255008201124722,0.0,1
293,-1.0,1.0,0.231387331601191,0.0,2
294,1.0,1.0,0.23023039494318503,0.0,7
295,-1.0,1.0,0.2290792429684691,0.0,9
296,2.4444444444444446,-2.0,0.22793384675362674,0.0,14
297,-1.0,1.0,0.22679417751985861,0.0,4
298,-1.0,1.0,0.22566020663225933,0.0,2
299,1.0,1.0,0.22453190559909803,0.0,5
300,3.5,-2.0,0.22340924607110255,0.0,4
301,-1.0,1.0,0.22229219984074702,0.0,3
302,2.6666666666666665,-2.0,0.2211807388415433,0.0,8
303,2.533333333333333,-2.0,0.22007483514733558,0.0,10
304,2.45,-2.0,0.2189744609715989,0.0,11
305,3.333333333333333,-2.0,0.2178795886667409,0.0,5
306,0.19999999999999996,1.0,0.2167901907234072,0.0,13
307,-1.0,1.0,0.21570623976979014,0.0,1
308,-1.0,1.0,0.21462770857094118,0.0,7
309,-1.0,1.0,0.21355457002808648,0.0,2
310,2.242857142857143,-2.0,0.21248679717794605,0.0,19
311,2.25,-2.0,0.21142436319205632,0.0,18
312,-1.0,1.0,0.21036724137609603,0.0,14
313,2.3095238095238093,-2.0,0.20931540516921554,0.0,15
314,2.666666666666667,-2.0,0.20826882814336947,0.0,10
315,0.25,1.0,0.20722748400265262,0.0,6
316,3.333333333333333,-2.0,0.20619134658263935,0.0,5
317,-1.0,1.0,0.20516038984972615,0.0,4
318,3.2,-2.0,0.2041345879004775,0.0,8
319,-1.0,1.0,0.2031139149609751,0.0,6
320,-1.0,1.0,0.20209834538617025,0.0,4
321,2.833333333333333,-2.0,0.2010878536592394,0.0,7
322,-1.0,1.0,0.2000824143909432,0.0,7
323,-1.0,1.0,0.19908200231898848,0.0,7
324,1.0,1.0,0.19808659230739353,0.0,4
325,-1.0,1.0,0.19709615934585656,0.0,7
326,-1.0,1.0,0.19611067854912728,0.0,1
327,1.0,1.0,0.19513012515638165,0.0,6
328,-1.0,1.0,0.19415447453059972,0.0,1
329,-1.0,1.0,0.19318370215794672,0.0,1
330,3.333333333333333,-2.0,0.192217783647157,0.0,5
331,1.0,1.0,0.1912566947289212,0.0,3
332,-1.0,1.0,0.1903004112552766,0.0,1
333,-1.0,1.0,0.18934890919900021,0.0,1
334,-1.0,1.0,0.18840216465300522,0.0,3
335,-1.0,1.0,0.18746015382974018,0.0,5
336,-1.0,1.0,0.1865228530605915,0.0,4
337,1.0,1.0,0.18559023879528855,0.0,8
338,-1.0,1.0,0.1846622876013121,0.0,2
339,1.0,1.0,0.18373897616330553,0.0,4
340,-1.0,1.0,0.182820281282489,0.0,3
341,-1.0,1.0,0.18190617987607657,0.0,2
342,-1.0,1.0,0.18099664897669618,0.0,1
343,0.33333333333333326,1.0,0.1800916657318127,0.0,7
344,0.0714285714285714,1.0,0.17919120740315364,0.0,16
345,0.125,1.0,0.17829525136613786,0.0,13
346,-1.0,1.0,0.17740377510930716,0.0,5
347,1.0,1.0,0.17651675623376062,0.0,5
348,-1.0,1.0,0.1756341724525918,0.0,6
349,0.1428571428571428,1.0,0.17475600159032884,0.0,9
350,-1.0,1.0,0.17388222158237718,0.0,6
351,-1.0,1.0,0.1730128104744653,0.0,1
352,-1.0,1.0,0.17214774642209296,0.0,1
353,-1.0,1.0,0.1712870076899825,0.0,2
354,-1.0,1.0,0.17043057265153258,0.0,1
355,1.0,1.0,0.16957841978827493,0.0,3
356,-1.0,1.0,0.16873052768933355,0.0,3
357,3.142857142857143,-2.0,0.1678868750508869,0.0,9
358,-1.0,1.0,0.16704744067563246,0.0,2
359,3.5,-2.0,0.1662122034722543,0.0,4
360,-1.0,1.0,0.16538114245489302,0.0,5
361,3.5,-2.0,0.16455423674261854,0.0,4
362,1.0,1.0,0.16373146555890544,0.0,6
363,-1.0,1.0,0.16291280823111093,0.0,2
364,-1.0,1.0,0.16209824418995536,0.0,1
365,-1.0,1.0,0.16128775296900558,0.0,3
366,-1.0,1.0,0.16048131420416054,0.0,3
367,-1.0,1.0,0.15967890763313974,0.0,8
368,3.333333333333333,-2.0,0.15888051309497406,0.0,5
369,-1.0,1.0,0.1580861105294992,0.0,2
370,1.0,1.0,0.1572956799768517,0.0,4
371,0.5,1.0,0.15650920157696743,0.0,5
372,-1.0,1.0,0.1557266555690826,0.0,6
