avg_attacker_episode_rewards,avg_defender_episode_rewards,avg_episode_steps,epsilon_values,hack_probability,attacker_cumulative_reward,defender_cumulative_reward,avg_episode_loss_attacker,avg_episode_loss_defender,lr_list,cumulative_hack_probability
-1.0,1.0,2.0,1,0.0,0,0,0.0,0.0,0.0005,0.0
-0.19002741702741704,0.64,4.46,0.9900493386913721,0.12,-18.00274170274171,63,0.0,0.0,0.0005,0.1188118811881188
-0.07501984126984128,0.58,4.59,0.980197693043223,0.14,-25.504725829725846,121,0.0,0.0,0.0005,0.12935323383084577
0.05948412698412698,0.58,4.53,0.970444077784251,0.14,-19.556313131313154,179,0.0,0.0,0.0005,0.132890365448505
-0.07157142857142858,0.64,4.32,0.9607875174472562,0.12,-26.71345598845602,243,0.0,0.0,0.0005,0.12967581047381546
-0.27836507936507937,0.76,4.74,0.9512270462715811,0.08,-54.54996392496395,319,0.0,0.0,0.0005,0.11976047904191617
0.04554761904761907,0.52,4.87,0.9417617081065252,0.16,-49.995202020202015,371,0.0,0.0,0.0005,0.1264559068219634
-0.16315476190476189,0.79,4.27,0.9323905563157222,0.07,-69.65353535353535,453,0.0,0.0,0.0005,0.11840228245363767
-0.09840674603174605,0.64,4.73,0.9231126536824614,0.12,-76.15135281385282,514,0.0,0.0,0.0005,0.11860174781523096
-0.030146464646464644,0.55,4.96,0.9139270723159584,0.15,-79.16599927849929,569,0.0,0.0,0.0005,0.1220865704772475
-0.05236904761904764,0.49,4.85,0.9048328935585562,0.17,-84.40290404040408,618,0.0,0.0,0.0005,0.12687312687312688
-0.13028932178932182,0.67,5.03,0.8958292078938495,0.11,-100.63183621933626,687,0.0,0.0,0.0005,0.12534059945504086
-0.39803174603174596,0.85,4.31,0.886915114855721,0.05,-140.56834415584422,772,0.0,0.0,0.0005,0.11906744379683597
-0.18513888888888888,0.73,4.33,0.8780897229382887,0.09,-156.0822330447332,842,0.0,0.0,0.0005,0.11683320522674866
-0.14424628149628152,0.61,4.85,0.8693521495067424,0.13,-169.173527861028,903,0.0,0.0,0.0005,0.11777301927194861
-0.03730977355977357,0.61,4.75,0.8607015207090729,0.13,-172.90450521700535,964,0.0,0.0,0.0005,0.11858760826115923
-0.17933730158730163,0.64,4.8,0.8521369713886755,0.12,-190.83823537573548,1028,0.0,0.0,0.0005,0.11867582760774516
-0.3011379551820728,0.67,4.08,0.843657644997827,0.11,-220.9520308939428,1095,0.0,0.0,0.0005,0.11816578483245149
-0.008452380952380956,0.61,4.67,0.8352626935120188,0.13,-221.79726898918094,1156,0.0,0.0,0.0005,0.11882287617990006
-0.20390043290043292,0.64,4.0,0.8269512773451482,0.12,-242.18731227922422,1220,0.0,0.0,0.0005,0.11888479747501315
-0.31223809523809526,0.73,4.1,0.8187225652655491,0.09,-273.4111218030338,1293,0.0,0.0,0.0005,0.11744127936031984
-0.28620598845598844,0.79,4.99,0.8105757343128605,0.07,-301.03172064863276,1371,0.0,0.0,0.0005,0.11518324607329843
0.160781746031746,0.49,5.3,0.8025099697157205,0.17,-286.09640318831526,1420,0.0,0.0,0.0005,0.11767378464334394
-0.016099206349206353,0.55,4.54,0.7945244648102819,0.15,-286.5634666803788,1475,0.0,0.0,0.0005,0.1190786614515428
-0.049718864468864456,0.67,4.51,0.7866184209595359,0.11,-291.5353531272653,1542,0.0,0.0,0.0005,0.11870054144106622
-0.2265555555555556,0.7,3.95,0.7787910474734399,0.1,-315.440908682821,1612,0.0,0.0,0.0005,0.11795281887245102
0.1728059163059163,0.43,5.02,0.7710415615298397,0.19,-296.9103170522294,1655,0.0,0.0,0.0005,0.12072279892349097
0.020174603174603165,0.46,5.07,0.7633691880961806,0.18,-298.3928567347691,1704,0.0,0.0,0.0005,0.12291743798593113
-0.2093769841269841,0.7,4.45,0.7557731598519929,0.1,-316.99722181413426,1771,0.0,0.0,0.0005,0.12209925026776151
0.06114224664224665,0.43,4.66,0.748252717112154,0.19,-309.716330483243,1814,0.0,0.0,0.0005,0.1244398483281627
0.1490952380952381,0.46,3.85,0.74080710775091,0.18,-296.8068066737192,1860,0.0,0.0,0.0005,0.1262912362545818
-0.008594877344877358,0.58,4.84,0.7334355871266565,0.14,-296.666294408207,1917,0.0,0.0,0.0005,0.12673331183489198
-0.16835317460317462,0.7,4.41,0.7261374180074647,0.1,-314.66827853519123,1987,0.0,0.0,0.0005,0.12589815682599187
-0.08348412698412702,0.7,5.04,0.7189118704973512,0.1,-323.05002456693734,2057,0.0,0.0,0.0005,0.1251136019388064
0.13963467088467088,0.49,5.59,0.7117582219632792,0.17,-309.38655747847037,2106,0.0,0.0,0.0005,0.1264334019406057
-0.24095238095238095,0.82,4.58,0.7046757569628911,0.06,-331.98179557370844,2188,0.0,0.0,0.0005,0.12453584690088546
0.27171861471861475,0.37,4.84,0.697663767172952,0.21,-305.95279124470414,2225,0.0,0.0,0.0005,0.12690919189114136
0.16046031746031744,0.55,5.18,0.6907215513185129,0.15,-288.7639023558152,2280,0.0,0.0,0.0005,0.12753309916238853
-0.24384981684981688,0.79,4.75,0.6838484151027725,0.07,-314.48221737413024,2359,0.0,0.0,0.0005,0.126019468560905
-0.19203102453102452,0.61,4.73,0.6770436711376424,0.13,-332.35198649389946,2420,0.0,0.0,0.0005,0.12612150730581903
-0.2176984126984127,0.67,4.04,0.6703066388750015,0.11,-357.87182776374067,2490,0.0,0.0,0.0005,0.12571857035741066
-0.1751309523809524,0.7,4.14,0.6636366445386316,0.1,-374.3849230018359,2559,0.0,0.0,0.0005,0.1250914411119239
