avg_attacker_episode_rewards,avg_defender_episode_rewards,avg_episode_steps,epsilon_values,hack_probability,attacker_cumulative_reward,defender_cumulative_reward,avg_episode_loss_attacker,avg_episode_loss_defender,lr_list,cumulative_hack_probability
-0.17712499999999998,0.61,3.14,0.17347558046382128,0.13,-796.0852952602949,2270,0.0,0.0,0.001,0.11055571890620405
-0.27275,0.715,2.96,0.15696327087980086,0.095,-850.6352952602948,2413,0.0,0.0,0.001,0.10969175229103027
-0.3415833333333333,0.73,2.995,0.1420226889537572,0.09,-919.4519619269611,2558,0.0,0.0,0.001,0.10865561694290976
-0.3446071428571429,0.715,3.245,0.12850422945825182,0.095,-986.8733904983894,2701,0.0,0.0,0.001,0.10797300674831292
-0.288202380952381,0.655,3.19,0.11627252737086113,0.115,-1046.5138666888656,2832,0.0,0.0,0.001,0.10830754582242323
-0.3298409090909091,0.715,3.025,0.1052051024172693,0.095,-1110.4820485070475,2975,0.0,0.0,0.001,0.10770279481935924
-0.34185515873015876,0.7,2.875,0.09519113263381149,0.1,-1177.85308025308,3114,0.0,0.0,0.001,0.10736796348619865
-0.08148593073593074,0.565,3.22,0.08613034466872482,0.145,-1194.1502664002667,3227,0.0,0.0,0.001,0.10893563840866487
-0.5444166666666667,0.865,2.855,0.0779320097103072,0.045,-1303.0335997336003,3400,0.0,0.0,0.001,0.10637872425514897
-0.17333730158730162,0.625,3.4,0.07051403498786589,0.125,-1337.701060051061,3525,0.0,0.0,0.001,0.1070947894635647
-0.28944444444444445,0.7,3.005,0.0638021417483393,0.1,-1397.33994893995,3664,0.0,0.0,0.001,0.10683206813553046
-0.45258116883116883,0.79,2.995,0.057729121477386285,0.07,-1486.6061827061844,3822,0.0,0.0,0.001,0.10551687198714516
-0.3001547619047619,0.745,2.955,0.052234162917227954,0.085,-1546.6371350871375,3971,0.0,0.0,0.001,0.10480951560075849
-0.26945833333333336,0.655,2.87,0.04726224314243698,0.115,-1600.5288017538046,4102,0.0,0.0,0.001,0.10514914180969838
-0.38970238095238097,0.76,3.02,0.042763576596306495,0.08,-1677.469277944281,4253,0.0,0.0,0.001,0.10433800999838735
-0.2801269841269841,0.7,2.98,0.03869311657080777,0.1,-1733.4946747696777,4393,0.0,0.0,0.001,0.10420246836431808
