episode,attacker_reward,defender_reward,epsilon,hack_probability
195,-1.0,1,0.37816180712868996,0
196,-1.0,1,0.37627099809304654,0
197,0.1428571428571428,1,0.3743896431025813,0
198,-1.0,1,0.37251769488706843,0
199,-1.0,1,0.3706551064126331,0
200,0.19999999999999996,1,0.36880183088056995,0
201,4.0,-2,0.3669578217261671,0
202,-1.0,1,0.36512303261753626,0
203,4.0,-2,0.3632974174544486,0
204,-1.0,1,0.3614809303671764,0
205,0.19999999999999996,1,0.3596735257153405,0
206,-1.0,1,0.3578751580867638,0
207,-1.0,1,0.35608578229633,0
208,0.5,1,0.3543053533848483,0
209,-1.0,1,0.35253382661792404,0
210,-1.0,1,0.3507711574848344,0
211,-1.0,1,0.34901730169741024,0
212,-1.0,1,0.3472722151889232,0
213,-1.0,1,0.3455358541129786,0
214,-1.0,1,0.3438081748424137,0
215,-1.0,1,0.3420891339682016,0
216,-1.0,1,0.3403786882983606,0
217,0.5,1,0.3386767948568688,0
218,-1.0,1,0.33698341088258443,0
219,0.5,1,0.3352984938281715,0
220,0.19999999999999996,1,0.33362200135903064,0
221,0.16666666666666674,1,0.33195389135223546,0
222,-1.0,1,0.3302941218954743,0
223,-1.0,1,0.32864265128599696,0
224,3.142857142857143,-2,0.326999438029567,0
225,-1.0,1,0.3253644408394192,0
226,4.0,-2,0.3237376186352221,0
227,-1.0,1,0.322118930542046,0
228,-1.0,1,0.32050833588933575,0
229,-1.0,1,0.31890579420988907,0
230,-1.0,1,0.3173112652388396,0
231,-1.0,1,0.3157247089126454,0
232,3.333333333333333,-2,0.3141460853680822,0
233,-1.0,1,0.3125753549412418,0
234,-1.0,1,0.31101247816653554,0
235,1.0,1,0.30945741577570285,0
236,3.166666666666667,-2,0.3079101286968243,0
237,1.0,1,0.3063705780533402,0
238,3.125,-2,0.30483872516307353,0
239,-1.0,1,0.3033145315372582,0
240,-1.0,1,0.3017979588795719,0
241,-1.0,1,0.30028896908517405,0
242,-1.0,1,0.2987875242397482,0
243,-1.0,1,0.29729358661854943,0
244,-1.0,1,0.29580711868545667,0
245,-1.0,1,0.2943280830920294,0
246,-1.0,1,0.29285644267656924,0
247,0.5,1,0.2913921604631864,0
248,-1.0,1,0.28993519966087045,0
249,2.311111111111111,-2,0.2884855236625661,0
250,-1.0,1,0.28704309604425327,0
251,-1.0,1,0.285607880564032,0
252,0.25,1,0.28417984116121187,0
253,-1.0,1,0.2827589419554058,0
254,-1.0,1,0.28134514724562876,0
255,-1.0,1,0.2799384215094006,0
256,2.392857142857143,-2,0.27853872940185365,0
257,0.16666666666666674,1,0.27714603575484437,0
258,-1.0,1,0.2757603055760701,0
259,3.5,-2,0.2743815040481898,0
260,3.25,-2,0.2730095965279488,0
261,-1.0,1,0.27164454854530906,0
262,1.0,1,0.2702863258025825,0
263,-1.0,1,0.2689348941735696,0
264,1.0,1,0.26759021970270175,0
265,-1.0,1,0.2662522686041882,0
266,2.7,-2,0.2649210072611673,0
267,4.0,-2,0.26359640222486147,0
