avg_attacker_episode_rewards,avg_defender_episode_rewards,avg_episode_steps,epsilon_values,hack_probability,attacker_cumulative_reward,defender_cumulative_reward,avg_episode_loss_attacker,avg_episode_loss_defender,lr_list,cumulative_hack_probability
-1.0,1.0,5.0,1,0.0,0,0,0.0,0.0,0.0005,0.0
-0.2944603174603175,0.76,4.66,0.9900493386913721,0.08,-28.446031746031746,75,0.0,0.0,0.0005,0.07920792079207921
-0.155495670995671,0.73,4.48,0.980197693043223,0.09,-45.99559884559882,148,0.0,0.0,0.0005,0.0845771144278607
0.1109801587301587,0.55,4.68,0.970444077784251,0.15,-32.89758297258296,203,0.0,0.0,0.0005,0.10631229235880399
-0.3371623376623377,0.76,3.96,0.9607875174472562,0.08,-66.61381673881671,279,0.0,0.0,0.0005,0.09975062344139651
-0.19496428571428578,0.73,4.35,0.9512270462715811,0.09,-86.1102453102453,352,0.0,0.0,0.0005,0.09780439121756487
-0.1003531746031746,0.64,4.47,0.9417617081065252,0.12,-97.47889610389609,416,0.0,0.0,0.0005,0.10149750415973377
-0.1713131313131313,0.73,4.39,0.9323905563157222,0.09,-114.61020923520921,489,0.0,0.0,0.0005,0.09985734664764621
0.03530988455988455,0.58,4.58,0.9231126536824614,0.14,-110.99588744588742,547,0.0,0.0,0.0005,0.10486891385767791
-0.18051984126984127,0.67,4.43,0.9139270723159584,0.11,-131.96453823953823,617,0.0,0.0,0.0005,0.10543840177580466
-0.04059090909090909,0.52,4.29,0.9048328935585562,0.16,-131.85696248196248,666,0.0,0.0,0.0005,0.1108891108891109
-0.23090476190476192,0.79,4.53,0.8958292078938495,0.07,-153.94743867243866,744,0.0,0.0,0.0005,0.10717529518619437
-0.26363888888888887,0.7,4.39,0.886915114855721,0.1,-180.31132756132754,814,0.0,0.0,0.0005,0.10657785179017486
-0.02559090909090913,0.55,4.51,0.8780897229382887,0.15,-184.87041847041843,869,0.0,0.0,0.0005,0.10991544965411222
-0.043535714285714316,0.55,4.4,0.8693521495067424,0.15,-187.22398989898983,924,0.0,0.0,0.0005,0.11277658815132048
-0.12787698412698412,0.64,4.05,0.8607015207090729,0.12,-202.01168831168823,988,0.0,0.0,0.0005,0.11325782811459027
-0.07038455988455988,0.73,4.66,0.8521369713886755,0.09,-209.0501443001442,1061,0.0,0.0,0.0005,0.11180512179887571
-0.2043292540792541,0.67,4.51,0.843657644997827,0.11,-227.48306970806962,1128,0.0,0.0,0.0005,0.11169900058788948
-0.1792849927849928,0.73,4.51,0.8352626935120188,0.09,-245.41156898656888,1201,0.0,0.0,0.0005,0.110494169905608
-0.42422222222222217,0.79,3.9,0.8269512773451482,0.07,-289.00045787545787,1280,0.0,0.0,0.0005,0.10836401893740137
-0.22683333333333336,0.76,4.48,0.8187225652655491,0.08,-314.10045787545783,1359,0.0,0.0,0.0005,0.10694652673663169
-0.19613888888888892,0.7,4.06,0.8105757343128605,0.1,-332.71434676434683,1428,0.0,0.0,0.0005,0.10661589719181343
-0.2866666666666666,0.67,4.07,0.8025099697157205,0.11,-361.3810134310135,1495,0.0,0.0,0.0005,0.10676965015901863
-0.3613769841269841,0.76,3.66,0.7945244648102819,0.08,-398.76871184371197,1571,0.0,0.0,0.0005,0.10560625814863103
-0.18373809523809523,0.67,4.06,0.7866184209595359,0.11,-417.05918803418825,1638,0.0,0.0,0.0005,0.10578925447730113
0.3260281385281385,0.43,4.63,0.7787910474734399,0.19,-383.28970751470763,1681,0.0,0.0,0.0005,0.10915633746501399
0.02363924963924963,0.52,4.44,0.7710415615298397,0.16,-380.92578255078274,1733,0.0,0.0,0.0005,0.1111111111111111
-0.24679029304029304,0.61,3.71,0.7633691880961806,0.13,-405.60481185481206,1794,0.0,0.0,0.0005,0.11181044057756387
-0.12857900432900435,0.55,3.65,0.7557731598519929,0.15,-418.4627122877126,1849,0.0,0.0,0.0005,0.11317386647625848
0.14420634920634917,0.46,4.57,0.748252717112154,0.18,-404.04207736707775,1895,0.0,0.0,0.0005,0.11547742157876595
-0.15033333333333335,0.73,3.61,0.74080710775091,0.09,-419.0754107004111,1968,0.0,0.0,0.0005,0.11462845718093968
-0.3586428571428572,0.82,3.39,0.7334355871266565,0.06,-455.43969641469687,2049,0.0,0.0,0.0005,0.11286681715575621
-0.30214285714285716,0.73,3.61,0.7261374180074647,0.09,-486.1539821289826,2122,0.0,0.0,0.0005,0.11215245235863792
0.16099242424242421,0.4,3.82,0.7189118704973512,0.2,-468.0547397047402,2162,0.0,0.0,0.0005,0.11481369282035747
-0.11118181818181819,0.61,3.6,0.7117582219632792,0.13,-480.67292152292214,2223,0.0,0.0,0.0005,0.1152602175830638
-0.3889880952380952,0.73,3.89,0.7046757569628911,0.09,-518.0717310467317,2296,0.0,0.0,0.0005,0.11453870322764924
-0.014904761904761931,0.52,3.53,0.697663767172952,0.16,-524.0622072372079,2351,0.0,0.0,0.0005,0.11580116634268259
-0.2446428571428571,0.64,3.49,0.6907215513185129,0.12,-544.0264929514937,2412,0.0,0.0,0.0005,0.11591461767089975
-0.09366233766233766,0.61,3.39,0.6838484151027725,0.13,-558.3927267177272,2476,0.0,0.0,0.0005,0.11628518810839253
-0.49762698412698403,0.79,3.5,0.6770436711376424,0.07,-607.2982822732827,2555,0.0,0.0,0.0005,0.11509869264291207
-0.35971428571428576,0.85,3.77,0.6703066388750015,0.05,-639.1268537018542,2637,0.0,0.0,0.0005,0.11347163209197701
-0.07166666666666668,0.64,3.52,0.6636366445386316,0.12,-645.2935203685207,2700,0.0,0.0,0.0005,0.11363082175079249
-0.40823809523809523,0.73,3.53,0.657033021056833,0.09,-686.1173298923301,2773,0.0,0.0,0.0005,0.1130683170673649
-0.3781547619047619,0.73,3.83,0.6504951079957114,0.09,-723.9328060828062,2846,0.0,0.0,0.0005,0.11253196930946291
-0.21730952380952384,0.64,3.54,0.6440222514931265,0.12,-745.6637584637584,2910,0.0,0.0,0.0005,0.11270165871392865
-0.0938888888888889,0.64,3.95,0.6376138041932984,0.12,-755.0526473526472,2974,0.0,0.0,0.0005,0.1128638080426572
-0.28678571428571425,0.76,3.33,0.6312691251820646,0.08,-787.3978854478853,3053,0.0,0.0,0.0005,0.11214953271028037
-0.3875075757575758,0.73,3.39,0.6249875799227835,0.09,-822.4819763569761,3123,0.0,0.0,0.0005,0.11167836630504148
-0.18616666666666667,0.67,3.58,0.6187685401928729,0.11,-843.0986430236426,3190,0.0,0.0,0.0005,0.1116434076234118
-0.3168131313131313,0.79,3.4,0.6126113840209793,0.07,-872.7799561549556,3269,0.0,0.0,0.0005,0.11079371556825138
0.11758333333333329,0.52,3.78,0.6065154956247766,0.16,-865.2716228216221,3324,0.0,0.0,0.0005,0.11177764447110577
-0.30510317460317465,0.7,4.15,0.6004802653493791,0.1,-899.1152736152729,3396,0.0,0.0,0.0005,0.11154675553812977
-0.24333333333333335,0.61,3.53,0.594505089606372,0.13,-919.1152736152728,3454,0.0,0.0,0.0005,0.11190155739280908
-0.16582142857142862,0.64,3.6,0.5885893708134431,0.12,-937.0307498057489,3518,0.0,0.0,0.0005,0.11205432937181664
-0.2778055555555556,0.76,3.92,0.5827325173346204,0.08,-965.4779720279711,3594,0.0,0.0,0.0005,0.11146084058507684
-0.28669841269841273,0.64,3.49,0.5769339434210992,0.12,-995.4811466311457,3661,0.0,0.0,0.0005,0.11161606980548991
-0.11662698412698419,0.55,3.79,0.5711930691526644,0.15,-1005.8105117105107,3713,0.0,0.0,0.0005,0.11230137475450812
-0.5634166666666667,0.85,3.13,0.565509320379691,0.05,-1060.1521783771773,3798,0.0,0.0,0.0005,0.11120855990177161
-0.38954365079365083,0.73,4.06,0.5598821286657205,0.09,-1099.1065434565426,3871,0.0,0.0,0.0005,0.11084295811067058
-0.06844505494505494,0.61,4.38,0.5543109312306146,0.13,-1105.951048951048,3932,0.0,0.0,0.0005,0.1111675987120827
-0.17790476190476195,0.64,3.87,0.5487951708942683,0.12,-1123.7415251415246,3996,0.0,0.0,0.0005,0.11131478086985502
-0.10647619047619049,0.64,4.01,0.5433342960208886,0.12,-1134.514144189144,4059,0.0,0.0,0.0005,0.11145713817406983
-0.11150000000000002,0.61,3.87,0.5379277604638235,0.13,-1144.5391441891443,4120,0.0,0.0,0.0005,0.11175616835994194
-0.26631652661064426,0.76,3.4,0.5325750235109391,0.08,-1171.170796850209,4196,0.0,0.0,0.0005,0.11125218219330266
-0.4195833333333333,0.82,3.46,0.5272755498305473,0.06,-1213.1291301835422,4278,0.0,0.0,0.0005,0.11045149195438213
-0.22497619047619047,0.64,3.58,0.5220288094178624,0.12,-1235.6267492311613,4342,0.0,0.0,0.0005,0.11059836948161822
-0.4484166666666667,0.79,3.37,0.5168342775419988,0.07,-1280.4684158978282,4421,0.0,0.0,0.0005,0.1099833358582033
0.01199242424242425,0.55,3.7,0.5116914346934888,0.15,-1283.3600825644949,4479,0.0,0.0,0.0005,0.11058051037158632
-0.12230952380952381,0.58,3.83,0.506599766532328,0.14,-1291.5001258545385,4534,0.0,0.0,0.0005,0.11101308631083665
-0.3968290043290043,0.73,3.23,0.5015587638365347,0.09,-1331.1830262874394,4607,0.0,0.0,0.0005,0.11070859295754239
-0.2375714285714286,0.79,3.76,0.496567922451223,0.07,-1354.9401691445823,4686,0.0,0.0,0.0005,0.11012712469647193
-0.2155555555555556,0.61,3.34,0.4916267432381818,0.13,-1375.4957247001385,4746,0.0,0.0,0.0005,0.11040698493169976
-0.3474047619047619,0.76,3.24,0.4867347320259549,0.08,-1414.486200890615,4825,0.0,0.0,0.0005,0.10998472434384113
-0.3956666666666667,0.76,2.97,0.48189139956041893,0.08,-1449.8028675572818,4898,0.0,0.0,0.0005,0.10957403095466374
0.04081547619047618,0.49,4.06,0.4770962614558525,0.17,-1445.7213199382345,4947,0.0,0.0,0.0005,0.11039048777192272
-0.2646910866910867,0.67,3.75,0.4723488381464926,0.11,-1475.5173516842667,5017,0.0,0.0,0.0005,0.11038528196240502
-0.23439285714285718,0.7,3.63,0.467648654838573,0.1,-1496.8797143216295,5084,0.0,0.0,0.0005,0.11024865149322458
