avg_attacker_episode_rewards,avg_defender_episode_rewards,avg_episode_steps,epsilon_values,hack_probability,attacker_cumulative_reward,defender_cumulative_reward,avg_episode_loss_attacker,avg_episode_loss_defender,lr_list,cumulative_hack_probability
-0.3542734487734488,0.7,4.44,0.6703066388750015,0.1,-1243.601186313687,2859,0.0,0.0,0.0005,0.0947263184203949
-0.4188809523809524,0.88,4.04,0.6636366445386316,0.04,-1284.4892815517826,2946,0.0,0.0,0.0005,0.09339185564496465
-0.36194505494505486,0.73,5.68,0.657033021056833,0.09,-1320.6837870462882,3019,0.0,0.0,0.0005,0.09331111640085694
-0.6004361471861472,0.88,4.52,0.6504951079957114,0.04,-1380.727401764903,3107,0.0,0.0,0.0005,0.09207161125319693
-0.2661031746031746,0.64,4.39,0.6440222514931265,0.12,-1407.3377192252208,3171,0.0,0.0,0.0005,0.09270620313565099
-0.24482997557997557,0.61,5.41,0.6376138041932984,0.13,-1431.8207167832188,3232,0.0,0.0,0.0005,0.09353477005109975
-0.34903896103896104,0.76,4.66,0.6312691251820646,0.08,-1466.724612887115,3308,0.0,0.0,0.0005,0.09324059986959357
-0.5214956709956711,0.76,4.76,0.6249875799227835,0.08,-1518.8741799866823,3384,0.0,0.0,0.0005,0.09295894490533929
-0.4148412698412699,0.7,4.7,0.6187685401928729,0.1,-1560.3583069708097,3454,0.0,0.0,0.0005,0.09310560299937513
-0.42752777777777773,0.85,4.16,0.6126113840209793,0.05,-1603.1110847485875,3539,0.0,0.0,0.0005,0.09222607631095694
-0.13709126984126985,0.52,4.78,0.6065154956247766,0.16,-1618.8202117327146,3591,0.0,0.0,0.0005,0.09358128374325135
-0.4408736263736263,0.76,4.58,0.6004802653493791,0.08,-1661.9075743700769,3666,0.0,0.0,0.0005,0.09331503626739855
-0.47757625707625706,0.79,4.9,0.594505089606372,0.07,-1709.6652000777026,3745,0.0,0.0,0.0005,0.09286675639300135
-0.38376785714285716,0.73,5.24,0.5885893708134431,0.09,-1748.0419857919885,3818,0.0,0.0,0.0005,0.09281267685342388
-0.6594420995670995,0.85,4.62,0.5827325173346204,0.05,-1813.9861957486987,3903,0.0,0.0,0.0005,0.09201999629698204
-0.37024134199134195,0.58,4.86,0.5769339434210992,0.14,-1852.210329947833,3961,0.0,0.0,0.0005,0.09289220141792401
-0.513622655122655,0.79,5.06,0.5711930691526644,0.07,-1902.3725954600986,4040,0.0,0.0,0.0005,0.09248348509194787
-0.4196788211788212,0.76,4.79,0.565509320379691,0.08,-1944.3404775779807,4116,0.0,0.0,0.0005,0.09226451499736889
-0.5333663003663003,0.79,4.67,0.5598821286657205,0.07,-1997.6771076146106,4195,0.0,0.0,0.0005,0.09188071022237546
-0.46880086580086583,0.73,4.77,0.5543109312306146,0.09,-2044.557194194697,4268,0.0,0.0,0.0005,0.09184883917980004
-0.4561385281385282,0.76,4.64,0.5487951708942683,0.08,-2090.1710470085504,4344,0.0,0.0,0.0005,0.09165139143476088
-0.6220022338772339,0.91,4.68,0.5433342960208886,0.03,-2151.371270396274,4434,0.0,0.0,0.0005,0.0906408785445009
-0.3867142857142858,0.76,4.9,0.5379277604638235,0.08,-2190.042698967703,4510,0.0,0.0,0.0005,0.09046927914852443
-0.46962698412698417,0.76,4.46,0.5325750235109391,0.08,-2237.0053973804015,4586,0.0,0.0,0.0005,0.09030312648785907
-0.6228968253968253,0.88,4.73,0.5272755498305473,0.04,-2302.6617465867503,4677,0.0,0.0,0.0005,0.08951726292766755
-0.6272417027417027,0.79,4.59,0.5220288094178624,0.07,-2362.0192501942533,4753,0.0,0.0,0.0005,0.08921704353176435
-0.5447062382062381,0.85,4.61,0.5168342775419988,0.05,-2417.580783105786,4838,0.0,0.0,0.0005,0.08862293591880019
-0.5862545787545789,0.79,4.93,0.5116914346934888,0.07,-2475.1153318903357,4917,0.0,0.0,0.0005,0.08834502313087599
-0.5764523809523809,0.76,4.23,0.506599766532328,0.08,-2532.760569985573,4993,0.0,0.0,0.0005,0.08822232024702249
-0.6978095238095239,0.85,4.28,0.5015587638365347,0.05,-2602.541522366526,5078,0.0,0.0,0.0005,0.08766845384726851
-0.5548458485958485,0.85,4.16,0.496567922451223,0.05,-2658.026107226111,5163,0.0,0.0,0.0005,0.08713040994143693
-0.527890873015873,0.85,4.85,0.4916267432381818,0.05,-2709.815194527698,5247,0.0,0.0,0.0005,0.08660752006759612
-0.38159584859584866,0.7,4.81,0.4867347320259549,0.1,-2747.974779387284,5317,0.0,0.0,0.0005,0.0867935009026524
-0.5476123321123321,0.85,5.4,0.48189139956041893,0.05,-2802.736012598518,5402,0.0,0.0,0.0005,0.0862895493767977
-0.5467893217893218,0.82,5.05,0.4770962614558525,0.06,-2858.51494477745,5484,0.0,0.0,0.0005,0.08593433319821646
-0.41461471861471855,0.7,4.57,0.4723488381464926,0.1,-2899.9597499722554,5554,0.0,0.0,0.0005,0.08612185041994401
-0.40597619047619055,0.73,4.29,0.467648654838573,0.09,-2939.4740356865414,5627,0.0,0.0,0.0005,0.08617287199052756
-0.4295555555555556,0.7,4.57,0.46299524146283894,0.1,-2982.4295912420966,5697,0.0,0.0,0.0005,0.08635242176340735
-0.4950591630591631,0.73,4.96,0.4583881326275357,0.09,-3033.0783646908694,5770,0.0,0.0,0.0005,0.08639917959235996
-0.6130075757575757,0.82,4.5,0.45382686757186447,0.06,-3094.48626512377,5852,0.0,0.0,0.0005,0.08606505505632199
-0.4969166666666666,0.82,4.87,0.4493109901199013,0.06,-3142.927931790436,5934,0.0,0.0,0.0005,0.0857392825896763
-0.5800714285714286,0.88,4.36,0.44484004863497356,0.04,-3201.9350746475793,6021,0.0,0.0,0.0005,0.08517466979385262
-0.47138419913419916,0.73,4.97,0.4404135959744933,0.09,-3247.0734945609993,6094,0.0,0.0,0.0005,0.08523350810876722
-0.41100721500721504,0.7,5.09,0.4360311894452362,0.1,-3290.1742160617205,6164,0.0,0.0,0.0005,0.08541139621732322
-0.3581871184371185,0.67,5.49,0.4316923907590687,0.11,-3323.992927905432,6231,0.0,0.0,0.0005,0.08570408284728008
-0.7063964646464648,0.91,4.13,0.42739676598911336,0.03,-3394.6325743700786,6322,0.0,0.0,0.0005,0.0850488177861428
-0.5269572094572095,0.73,4.99,0.42314388552635285,0.09,-3447.3282953157996,6395,0.0,0.0,0.0005,0.0851063829787234
-0.6669047619047619,0.82,4.25,0.4189333240366638,0.06,-3514.0187715062757,6477,0.0,0.0,0.0005,0.08481783703022641
-0.47605952380952377,0.79,4.91,0.41476466041827703,0.07,-3561.6247238872284,6556,0.0,0.0,0.0005,0.08464947165094876
-0.6660409035409035,0.88,5.22,0.41063747775966636,0.04,-3628.2288142413195,6644,0.0,0.0,0.0005,0.08414784855634198
-0.6979603174603174,0.85,4.03,0.4065513632978508,0.05,-3698.0248459873505,6729,0.0,0.0,0.0005,0.08376847016998111
-0.39913095238095236,0.73,4.58,0.40250590837711264,0.09,-3740.4379412254457,6804,0.0,0.0,0.0005,0.083836940995495
-0.5564642857142857,0.85,4.39,0.39850070840813034,0.05,-3792.584369796874,6886,0.0,0.0,0.0005,0.08346918813172481
-0.7993849206349206,0.97,4.2,0.39453536282751267,0.01,-3872.522861860366,6983,0.0,0.0,0.0005,0.08267928179765617
-0.5122968975468976,0.79,4.49,0.3906094750577395,0.07,-3923.7525516150554,7062,0.0,0.0,0.0005,0.08254441016913094
-0.591650432900433,0.82,4.5,0.3867226524674988,0.06,-3982.917594905098,7144,0.0,0.0,0.0005,0.08230712556572993
-0.6436514041514042,0.82,4.69,0.38287450633242015,0.06,-4047.2827353202383,7226,0.0,0.0,0.0005,0.08207478387667952
-0.5380793650793652,0.79,4.48,0.3790646517961982,0.07,-4103.090671828175,7305,0.0,0.0,0.0005,0.08195031440057726
-0.6664569597069598,0.88,4.91,0.375292707832101,0.04,-4167.73636779887,7393,0.0,0.0,0.0005,0.08152229364350576
-0.44516630591630596,0.67,4.58,0.37155829720486555,0.11,-4212.252998390501,7460,0.0,0.0,0.0005,0.0818099181900818
-0.6528653291153291,0.91,5.64,0.3678610464329692,0.03,-4277.539531302034,7551,0.0,0.0,0.0005,0.0812918708129187
-0.6158809523809524,0.85,4.78,0.36420058575127745,0.05,-4340.12762654013,7635,0.0,0.0,0.0005,0.08098208098208098
-0.5556139971139972,0.82,4.99,0.36057654907406234,0.06,-4393.689026251531,7717,0.0,0.0,0.0005,0.08077639447113028
-0.3454678932178932,0.67,5.0,0.35698857395839245,0.11,-4428.235815573319,7784,0.0,0.0,0.0005,0.08106009125327639
-0.5848333333333333,0.82,4.61,0.35343630156788247,0.06,-4486.719148906653,7866,0.0,0.0,0.0005,0.08085760984520719
-0.7000432900432901,0.88,4.42,0.34991937663680617,0.04,-4556.723477910983,7954,0.0,0.0,0.0005,0.08046852680697077
-0.5377420634920635,0.73,5.0,0.34643744743456717,0.09,-4610.49768426019,8027,0.0,0.0,0.0005,0.08055843788321856
-0.42445039682539687,0.7,5.03,0.34299016573052,0.1,-4652.9427239427305,8097,0.0,0.0,0.0005,0.08074011774600505
-0.5897331932773109,0.79,4.11,0.33957718675914567,0.07,-4711.916043270463,8176,0.0,0.0,0.0005,0.08064068141838719
-0.46046789321789316,0.79,5.11,0.3361981691855686,0.07,-4759.962832592253,8255,0.0,0.0,0.0005,0.08054306944317036
-0.6177813852813852,0.79,4.84,0.33285277507142214,0.07,-4823.107637787059,8337,0.0,0.0,0.0005,0.08044723206981183
-0.6424722222222222,0.82,4.34,0.32954066984104946,0.06,-4886.354860009281,8418,0.0,0.0,0.0005,0.0802630393658229
-0.6687893217893217,0.82,4.49,0.32626152224804283,0.06,-4953.233792188212,8500,0.0,0.0,0.0005,0.08008213552361396
-0.5139565989565991,0.76,5.08,0.32301500434211516,0.08,-5005.754452083872,8576,0.0,0.0,0.0005,0.0800814087248916
-0.5036825396825396,0.79,4.9,0.3198007914363015,0.07,-5054.997706052126,8655,0.0,0.0,0.0005,0.07999298307166038
-0.6643246753246754,0.88,5.11,0.3166185620744876,0.04,-5121.430173584595,8743,0.0,0.0,0.0005,0.07964524823928354
-0.5589113247863248,0.82,5.48,0.31346799799925945,0.06,-5177.321306063227,8825,0.0,0.0,0.0005,0.07947590724937506
